sweep_type,topology,nodes,traffic,injection_rate,router_latency,vcs_per_vnet,avg_packet_latency,avg_flit_latency,avg_hops,packets_injected,packets_received,flits_injected,flits_received,avg_flit_network_latency,avg_flit_queueing_latency,int_link_util,ext_in_link_util,ext_out_link_util,throughput,accepted_traffic,flit_net_lat_v0,flit_net_lat_v1,flit_net_lat_v2,flit_net_lat_v3,flit_net_lat_v4,flit_queue_lat_v0,flit_queue_lat_v1,flit_queue_lat_v2,flit_queue_lat_v3,flit_queue_lat_v4
core,CrossbarGarnet,16,tornado,0.1,1,4,3500.0,3000.0,0.0,32.0,32.0,96.0,96.0,2416.666667,583.333333,0.0,96.0,96.0,0.00032,6e-05,0.0,0.0,24000.0,0.0,208000.0,0.0,0.0,16000.0,0.0,40000.0
core,CrossbarGarnet,16,tornado,0.12,1,4,3500.0,3000.0,0.0,32.0,32.0,96.0,96.0,2416.666667,583.333333,0.0,96.0,96.0,0.00032,6e-05,0.0,0.0,24000.0,0.0,208000.0,0.0,0.0,16000.0,0.0,40000.0
core,CrossbarGarnet,16,tornado,0.14,1,4,3500.0,3000.0,0.0,32.0,32.0,96.0,96.0,2416.666667,583.333333,0.0,96.0,96.0,0.00032,6e-05,0.0,0.0,24000.0,0.0,208000.0,0.0,0.0,16000.0,0.0,40000.0
core,CrossbarGarnet,16,tornado,0.16,1,4,3500.0,3000.0,0.0,32.0,32.0,96.0,96.0,2416.666667,583.333333,0.0,96.0,96.0,0.00032,6e-05,0.0,0.0,24000.0,0.0,208000.0,0.0,0.0,16000.0,0.0,40000.0
core,CrossbarGarnet,16,tornado,0.18,1,4,3500.0,3000.0,0.0,32.0,32.0,96.0,96.0,2416.666667,583.333333,0.0,96.0,96.0,0.00032,6e-05,0.0,0.0,24000.0,0.0,208000.0,0.0,0.0,16000.0,0.0,40000.0
core,CrossbarGarnet,16,tornado,0.2,1,4,3500.0,3000.0,0.0,32.0,32.0,96.0,96.0,2416.666667,583.333333,0.0,96.0,96.0,0.00032,6e-05,0.0,0.0,24000.0,0.0,208000.0,0.0,0.0,16000.0,0.0,40000.0
core,CrossbarGarnet,16,tornado,0.25,1,4,3500.0,3000.0,0.0,32.0,32.0,96.0,96.0,2416.666667,583.333333,0.0,96.0,96.0,0.00032,6e-05,0.0,0.0,24000.0,0.0,208000.0,0.0,0.0,16000.0,0.0,40000.0
core,CrossbarGarnet,16,tornado,0.3,1,4,3500.0,3000.0,0.0,32.0,32.0,96.0,96.0,2416.666667,583.333333,0.0,96.0,96.0,0.00032,6e-05,0.0,0.0,24000.0,0.0,208000.0,0.0,0.0,16000.0,0.0,40000.0
core,CrossbarGarnet,16,tornado,0.35,1,4,3500.0,3000.0,0.0,32.0,32.0,96.0,96.0,2416.666667,583.333333,0.0,96.0,96.0,0.00032,6e-05,0.0,0.0,24000.0,0.0,208000.0,0.0,0.0,16000.0,0.0,40000.0
core,CrossbarGarnet,16,tornado,0.4,1,4,3500.0,3000.0,0.0,32.0,32.0,96.0,96.0,2416.666667,583.333333,0.0,96.0,96.0,0.00032,6e-05,0.0,0.0,24000.0,0.0,208000.0,0.0,0.0,16000.0,0.0,40000.0
core,CrossbarGarnet,16,tornado,0.5,1,4,3500.0,3000.0,0.0,32.0,32.0,96.0,96.0,2416.666667,583.333333,0.0,96.0,96.0,0.00032,6e-05,0.0,0.0,24000.0,0.0,208000.0,0.0,0.0,16000.0,0.0,40000.0
core,CrossbarGarnet,16,transpose,0.02,1,4,3250.0,2937.5,0.0,26.0,24.0,70.0,64.0,2320.3125,617.1875,0.0,65.0,65.0,0.00024,4e-05,0.0,0.0,22500.0,0.0,126000.0,0.0,0.0,15000.0,0.0,24500.0
